Media Name,Publish Date,Title
foxnews.com,2024-10-07,Hezbollah rocket attack on Israel hits Haifa for first time
cnn.com,2024-10-07,Israeli Amb: ‘We will not heal’ until hostages are home
cnn.com,2024-10-07,Family member of Israeli hostages: ‘We never lose hope’
nypost.com,2024-10-07,"Israel establishes new military zone around Lebanon border, issuing more evacuations before possible incursion"
nypost.com,2024-10-07,Oct. 7 anniversary live updates: Thousands of anti-Israel protesters swarm NYC
cnn.com,2024-10-07,"Father whose family was held by Hamas: ‘They tried to destroy us, now we are expanding’"
foxnews.com,2024-10-07,Vikings remember 'reprehensible' Oct. 7 attacks on Israel
cnn.com,2024-10-07,"One year on, the Israel-Hamas war has taken an unprecedented toll on journalists"
cnn.com,2024-10-07,Video shows Hezbollah rocket attack on Israeli city
nypost.com,2024-10-07,"Democratic Majority of Israel co-founder attacked, bloodied in Union Square as pro-Palestinian protesters flood NYC"
cnn.com,2024-10-07,"US is not currently pushing to revive Israel-Hezbollah ceasefire deal, officials say"
cnn.com,2024-10-07,‘United in grief but also united in hope’: Israeli and Palestinian peace activists on October 7th
nypost.com,2024-10-07,"Swing-state Muslim group endorses Jill Stein, slams Kamala Harris for ‘overseeing’ Gaza war"
nypost.com,2024-10-07,Fox News’ Trey Yingst reflects on one year of war reporting after Hamas attacks
foxnews.com,2024-10-07,"Hamas launches rockets from Gaza one year after Oct. 7 attacks, while IDF strikes terror targets"
nytimes.com,2024-10-07,Israelis Mourn Nova Music Festival Victims
nypost.com,2024-10-07,Palestinian terrorists in Gaza fire barrage of rockets into Israel as mourners mark Oct. 7 attacks
nypost.com,2024-10-07,Special NY Post video report: How Israel’s war against Hamas became its longest ever — and reached across the world
foxnews.com,2024-10-07,"Vance gives full-throated support for Israel, has choice words for Biden-Harris at Oct 7 memorial rally"
cnn.com,2024-10-07,Israel marks the anniversary of October 7 terror attacks with tears and anger
nypost.com,2024-10-07,These 97 people are still being held by Hamas a year after Oct. 7 attacks
foxnews.com,2024-10-07,"Reporter's Notebook: Iran’s missiles strike Israel, and a deadly terror attack in Tel Aviv"
foxnews.com,2024-10-07,Morning Glory: Trump stands with Israel
nypost.com,2024-10-07,Jewish Democratic rep faces anti-Israel encampment outside his Ohio home on Oct. 7 anniversary: ‘Don’t think they have any boundaries’
nypost.com,2024-10-07,Thousands of anti-Israel protesters blanket NYC on first anniversary of Oct. 7 terror attack
nytimes.com,2024-10-07,Gaza in Ruins After a Year of War
nypost.com,2024-10-07,Brown University endowment grew 11.3% last year — as school mulls Israel divestment
cnn.com,2024-10-07,"October 7, 2024 Israel marks anniversary of Hamas attacks as Middle East war rages"
nypost.com,2024-10-07,"Or Gat’s mother was executed by Hamas on Oct. 7, then his sister was murdered after months in captivity"
foxnews.com,2024-10-07,Anti-Israel agitators set up encampment outside Jewish Dem rep's home on eve of Oct 7 Hamas attack anniversary
foxnews.com,2024-10-07,Israel Soccer fires back at Palestinian officials after suspension proposal
nypost.com,2024-10-07,Remember the hostages. Remember that Israel will live and fight on
nypost.com,2024-10-07,Hezbollah rockets hit Israel’s Haifa in first direct attack on the city
nypost.com,2024-10-07,‘CBS Mornings’ host Tony Dokoupil ripped by bosses over tense Israel interview with Ta-Nehisi Coates — sparking staff backlash: reports
nypost.com,2024-10-07,US sanctions Italian ‘sham charity’ and group’s founder who funneled ‘$4M to Hamas over a 10-year period’
nypost.com,2024-10-07,Polish artist sparks outrage outside Auschwitz with sign saying ‘Israel is doing to the Palestinians what the Germans did to the Jews’
nypost.com,2024-10-07,Hamas leader and Oct. 7 mastermind Yahya Sinwar resurfaces after reports he may have been killed by Israeli airstrike
nypost.com,2024-10-07,"Emirates bans passengers from carrying pagers, walkie-talkies after device attacks against Hezbollah"
nypost.com,2024-10-07,Feminist law professor ‘betrayed’ by anti-Israel Democrats is voting for GOP Pa. Senate hopeful Dave McCormick — and not Kamala Harris
nytimes.com,2024-10-07,Why Israel’s Hostage Families Are Turning on Their Government
foxnews.com,2024-10-07,New Jersey high school allegedly banned yellow ribbons honoring Israeli hostages: 'Deeply offensive'
nypost.com,2024-10-07,Saving lives on ‘Death Street’: How an Israeli kindergarten teacher became a battlefield hero on Oct. 7
nypost.com,2024-10-07,Newly released Oct. 7 footage shows Israeli soldiers fighting to stop Hamas invasion
cnn.com,2024-10-07,Israel marks October 7 attack anniversary as Middle East conflict escalates
nypost.com,2024-10-07,Missile intercepted after being fired at central Israel from Yemen: Israeli military
nypost.com,2024-10-06,Dozens killed in Gaza as Israeli army launches new incursion in north
nypost.com,2024-10-06,Wife of American hostage trapped in Gaza says husband is suffering ‘the cruelest thing on Earth’
cnn.com,2024-10-06,Israeli military says it has encircled area of northern Gaza after seeing signs of Hamas regrouping
nypost.com,2024-10-06,Kamala Harris sidesteps question on whether Israel’s Netanyahu is a good US ally
cnn.com,2024-10-06,Live updates: Israel strikes Lebanon as region braces for response to Iran
nypost.com,2024-10-06,Protesters flock to anti-Israel NYC politician’s office as thousands hold vigil for hostages in Central Park: ‘Support us’
nypost.com,2024-10-06,Anti-Israel student and teacher protesters at NYC universities plan campus walkouts on Oct. 7 anniversary
nypost.com,2024-10-06,Iranian general who vowed to ‘see dead bodies of Americans all over the Middle East’ possibly killed in Israeli airstrike
foxnews.com,2024-10-06,"Georgia's Muslim voters opposing Harris, Trump in election over both candidates' support for Israel"
cnn.com,2024-10-06,ADL CEO: Hamas’ October 7 attack triggered ‘tsunami’ of anti-Jewish hate
nypost.com,2024-10-06,"Netanyahu blasts Macron, other Western leaders who support Israeli arms embargo as a ‘disgrace’"
nypost.com,2024-10-06,NJ high school accused of banning yellow ribbons honoring Israeli hostages: ‘Blatant antisemitism’
nypost.com,2024-10-06,Israel stands alone in fight against terror one year after Oct. 7’s horrors
cnn.com,2024-10-06,Israel’s kibbutz Be’eri became the symbol of Hamas’ brutality. Some survivors are determined to return
foxnews.com,2024-10-06,Senate Republicans mark Oct 7 attack 1 year out as Israel-Hamas war continues
nypost.com,2024-10-06,"On Oct. 7 anniversary, standing with Israel means the free world’s salvation"
foxnews.com,2024-10-06,Anti-Israel protester lights himself on fire outside of White House
nypost.com,2024-10-05,Israel kills Hamas commander in Lebanon airstrike: local media
nypost.com,2024-10-05,Heavy strikes shake Beirut as Israel expands Lebanon campaign
nypost.com,2024-10-05,Why Israel will never again forget who its neighbors are
nypost.com,2024-10-05,"Trump urges Israel to take out Iran nuclear facilities, rips Biden for urging Jewish state to show restraint"
nypost.com,2024-10-05,Potential successor to Hezbollah leader Nasrallah has been out of contact following Israeli airstrike
